epoch,stage,train_loss,val_payload_acc,val_exact_match,val_decode_success,val_confidence
1,hard_negative,0.04573048144405491,0.9969411375661376,0.9252645502645502,0.9748677248677249,0.9964011065543644
2,hard_negative,0.04366658433006159,0.9984886532738095,0.9484126984126984,0.9920634920634921,0.9955250781679911
3,hard_negative,0.04120893713604253,0.9984343998015873,0.9484126984126984,0.9821428571428571,0.995825469493866
4,hard_negative,0.04206904746458354,0.9988813450727514,0.9292328042328042,0.9880952380952381,0.9968866999187167
5,hard_negative,0.033198884960146446,0.9980856274801587,0.9444444444444444,0.9801587301587301,0.9973790721287803
6,hard_negative,0.039924131055661366,0.9991784474206349,0.9523809523809523,0.9880952380952381,0.9982844401919653
7,hard_negative,0.03050802234401075,0.9990079365079365,0.9543650793650794,0.9940476190476191,0.9980981936530461
8,hard_negative,0.037945131809504144,0.9988064236111112,0.9503968253968254,0.9940476190476191,0.9973026154533265
9,hard_negative,0.034928924263667456,0.9984654017857143,0.9682539682539683,0.9900793650793651,0.996932998536125
10,hard_negative,0.03208624450338653,0.9985816592261905,0.9464285714285714,0.9861111111111112,0.996999358373975
11,hard_negative,0.02782364934266197,0.9987754216269841,0.9662698412698413,0.9940476190476191,0.9967201749483744
12,hard_negative,0.03180287201591232,0.9986979166666666,0.9623015873015873,0.9841269841269841,0.9971964699881417
13,hard_negative,0.028288940866040453,0.9991784474206349,0.9563492063492064,0.996031746031746,0.9974935612981282
14,hard_negative,0.03839817073253836,0.9976515997023809,0.9464285714285714,0.9761904761904762,0.9963689068007091
15,hard_negative,0.031832219172813404,0.9983801463293651,0.9689153439153438,0.9847883597883598,0.9973160879952567
16,hard_negative,0.03439752528616459,0.9992171999007936,0.9623015873015873,0.9900793650793651,0.9973890128589812
17,hard_negative,0.025241811088225617,0.9988451760912699,0.9603174603174603,0.9920634920634921,0.9963471104228308
18,hard_negative,0.027990431887515124,0.9993489583333334,0.9722222222222222,0.996031746031746,0.9977506436998882
19,finalize,0.06913595193409346,0.9985584077380952,0.9523809523809523,0.9920634920634921,0.9966789077198694
20,finalize,0.07437173696151816,0.9976593501984127,0.9292328042328042,0.9828042328042328,0.9965127025331769
21,finalize,0.06458439488368982,0.9977988591269841,0.9305555555555556,0.9821428571428571,0.9975346516049097
22,finalize,0.07922951265200043,0.9988994295634921,0.9226190476190477,0.9880952380952381,0.9969448740520175
23,finalize,0.07797464108137736,0.9987289186507936,0.9384920634920635,0.9880952380952381,0.9966847508672684
24,finalize,0.09515007382753486,0.9977678571428571,0.9226190476190477,0.9761904761904762,0.9962382089524042
25,finalize,0.09965920207919071,0.9975301752645502,0.9153439153439153,0.9808201058201058,0.9962732158009968
